state,contaminant,n_pws,n_pws_over_limit,pct_pws_over_limit
NJ,PFOA,265,154,58.11320754716981
CT,PFOA,63,31,49.2063492063492
CT,PFOS,63,28,44.44444444444444
MA,PFOA,263,101,38.40304182509506
RI,PFOA,29,11,37.93103448275862
NC,PFOS,288,109,37.84722222222222
SC,PFOS,165,62,37.57575757575757
FL,PFOS,405,151,37.28395061728395
NJ,PFOS,265,97,36.60377358490566
SC,PFOA,165,59,35.75757575757576
DE,PFOA,36,12,33.33333333333333
NH,PFOA,51,15,29.411764705882355
NC,PFOA,288,82,28.47222222222222
FL,PFOA,405,110,27.160493827160494
PA,PFOA,390,102,26.153846153846157
MA,PFOS,263,66,25.09505703422053
DE,PFOS,36,9,25
PA,PFOS,390,97,24.871794871794872
AL,PFOS,307,70,22.80130293159609
AL,PFOA,307,68,22.149837133550488
CA,PFOS,700,145,20.714285714285715
RI,PFOS,29,6,20.689655172413794
WV,PFOA,103,21,20.388349514563107
MD,PFOA,83,15,18.072289156626507
CA,PFOA,700,122,17.42857142857143
GA,PFOS,255,40,15.686274509803921
NH,PFOS,51,8,15.686274509803921
MD,PFOS,83,13,15.66265060240964
AZ,PFOS,151,21,13.90728476821192
GA,PFOA,255,35,13.725490196078432
AZ,PFOA,151,20,13.245033112582782
NY,PFOA,333,43,12.912912912912914
WA,PFOS,247,30,12.145748987854251
TN,PFOS,277,31,11.191335740072201
KY,PFOA,231,25,10.822510822510822
OH,PFOA,347,36,10.37463976945245
AK,PFOA,30,3,10
VA,PFOS,171,17,9.941520467836257
ME,PFOA,41,4,9.75609756097561
OH,PFOS,347,32,9.221902017291066
TN,PFOA,277,24,8.664259927797833
TX,PFOS,1150,98,8.521739130434783
VA,PFOA,171,14,8.187134502923977
WI,PFOA,202,16,7.920792079207921
NY,PFOS,333,26,7.807807807807808
NE,PFOS,53,4,7.547169811320755
IN,PFOA,230,17,7.391304347826087
OK,PFOS,166,12,7.228915662650602
OR,PFOS,127,9,7.086614173228346
NV,PFOS,58,4,6.896551724137931
WA,PFOA,247,17,6.882591093117409
CO,PFOA,165,11,6.666666666666667
WI,PFOS,202,13,6.435643564356436
MN,PFOS,196,12,6.122448979591836
MN,PFOA,196,11,5.612244897959184
CO,PFOS,165,9,5.454545454545454
KY,PFOS,231,12,5.194805194805195
ID,PFOS,61,3,4.918032786885246
ME,PFOS,41,2,4.878048780487805
KS,PFOS,103,5,4.854368932038835
MT,PFOS,45,2,4.444444444444445
SD,PFOS,49,2,4.081632653061225
IA,PFOA,152,6,3.9473684210526314
IL,PFOS,487,18,3.696098562628337
TX,PFOA,1150,40,3.4782608695652173
NV,PFOA,58,2,3.4482758620689653
AK,PFOS,30,1,3.3333333333333335
OR,PFOA,127,4,3.149606299212598
IL,PFOA,487,15,3.0800821355236137
IN,PFOS,230,7,3.0434782608695654
WY,PFOS,33,1,3.0303030303030303
WV,PFOS,103,3,2.912621359223301
NM,PFOA,73,2,2.73972602739726
NM,PFOS,73,2,2.73972602739726
VT,PFOS,38,1,2.631578947368421
LA,PFOS,268,7,2.6119402985074625
MS,PFOS,239,6,2.510460251046025
UT,PFOS,129,3,2.3255813953488373
MI,PFOA,319,7,2.19435736677116
MO,PFOS,232,5,2.1551724137931036
MS,PFOA,239,5,2.092050209205021
IA,PFOS,152,3,1.9736842105263157
KS,PFOA,103,2,1.9417475728155338
LA,PFOA,268,5,1.8656716417910446
MO,PFOA,232,4,1.7241379310344827
ID,PFOA,61,1,1.639344262295082
UT,PFOA,129,2,1.550387596899225
OK,PFOA,166,2,1.2048192771084338
MI,PFOS,319,3,0.9404388714733543
AR,PFOS,172,1,0.5813953488372093
AR,PFOA,172,0,0
DC,PFOA,3,0,0
DC,PFOS,3,0,0
HI,PFOA,45,0,0
HI,PFOS,45,0,0
MT,PFOA,45,0,0
ND,PFOA,38,0,0
ND,PFOS,38,0,0
NE,PFOA,53,0,0
SD,PFOA,49,0,0
VT,PFOA,38,0,0
WY,PFOA,33,0,0
